Lampiran :,,,,,,,,,,
Dataset Kejahatan Online,,,,,,,,,,
,,,,,,,,,,
Jenis_Kelamin_Korban,Usia_Korban,Pekerjaan_Korban,Tempat_Tinggal_Korban,TKP,Waktu_Kejadian,Hari_kejadian,Modus_Operandi,Akibat,Objek,Tindak_pidana
Laki_Laki,42,Tenaga_Profesional,Perkotaan,Pusat_Kota,Sore_Petang,Minggu,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,53,Tenaga_Profesional,Pinggiran_kota,Pusat_Kota,Sore_Petang,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,38,Tidak_Bekerja,Pinggiran_kota,Pusat_Kota,Sore_Petang,Jumat,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,24,Tidak_Bekerja,Pusat_Kota,Pusat_Kota,Siang,Senin,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Perempuan,36,Tenaga_Profesional,Perkotaan,Pusat_Kota,Siang,Kamis,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,41,Tenaga_Profesional,Perkotaan,Pusat_Kota,Sore_Petang,Selasa,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,38,Tenaga_Profesional,Pinggiran_kota,Pusat_Kota,Sore_Petang,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,36,Tenaga_Profesional,Pinggiran_kota,Pusat_Kota,Sore_Petang,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,53,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Sore_Petang,Sabtu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,32,Tidak_Bekerja,Pusat_Kota,Pusat_Kota,Siang,Senin,Mengakses_sistem_orang_lain,Teraksesnya_sistem_elektronik,Sistem_elektronik,Hacking_atau_craking_dan_penipuan online
Laki_Laki,43,Tenaga_Profesional,Pinggiran_kota,Pusat_Kota,Siang,Rabu,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Informasi_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,81,Tenaga_Profesional,Perkotaan,Pusat_Kota,Siang,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,27,Tidak_Bekerja,Pinggiran_kota,Pusat_Kota,Siang,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,45,Tidak_Bekerja,Pinggiran_kota,Pusat_Kota,Sore_Petang,Selasa,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Perempuan,32,Tidak_Bekerja,Pinggiran_kota,Pusat_Kota,Sore_Petang,Sabtu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,44,Tidak_Bekerja,Pinggiran_kota,Pusat_Kota,Dini_Hari,Rabu,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Perempuan,40,Tidak_Bekerja,Perkotaan,Pusat_Kota,Siang,Sabtu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,30,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Siang,Selasa,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,28,Tenaga_Profesional,Perkotaan,Pusat_Kota,Dini_Hari,Rabu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,43,Tenaga_Profesional,Perkotaan,Pusat_Kota,Siang,Selasa,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,31,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Dini_Hari,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,27,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Dini_Hari,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,25,Tidak_Bekerja,Pusat_Kota,Pusat_Kota,Sore_Petang,Sabtu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,40,Tenaga_Profesional,Perkotaan,Pusat_Kota,Siang,Jumat,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,35,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Siang,Kamis,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,37,Tenaga_Profesional,Perkotaan,Pusat_Kota,Dini_Hari,Selasa,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Perempuan,27,Tidak_Bekerja,Perkotaan,Pusat_Kota,Sore_Petang,Selasa,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,41,Tidak_Bekerja,Perkotaan,Pusat_Kota,Siang,Kamis,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,29,Tidak_Bekerja,Pusat_Kota,Pusat_Kota,Dini_Hari,Jumat,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,24,Tidak_Bekerja,Pinggiran_kota,Pusat_Kota,Sore_Petang,Jumat,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,61,Tidak_Bekerja,Perkotaan,Pusat_Kota,Sore_Petang,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,51,Tenaga_Profesional,Perkotaan,Pusat_Kota,Dini_Hari,Rabu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,34,Tenaga_Profesional,Pinggiran_kota,Pusat_Kota,Siang,Rabu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,46,Tenaga_Profesional,Perkotaan,Pusat_Kota,Siang,Sabtu,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,23,Tidak_Bekerja,Pinggiran_kota,Pusat_Kota,Pagi,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,24,Tidak_Bekerja,Pinggiran_kota,Pusat_Kota,Pagi,Selasa,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,48,Tidak_Bekerja,Pinggiran_kota,Pusat_Kota,Pagi,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,29,Tenaga_Profesional,Perkotaan,Pusat_Kota,Malam,Rabu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,56,Pekerja_Kasar_Tenaga_Kebersihan_dan_Tenaga_Ybdi,Pusat_Kota,Pusat_Kota,Dini_Hari,Selasa,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,34,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Jumat,Mengakses_sistem_orang_lain,Teraksesnya_sistem_elektronik,Sistem_elektronik,Hacking_atau_craking_dan_penipuan online
Laki_Laki,45,Tenaga_Profesional,Perkotaan,Pusat_Kota,Pagi,Rabu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,44,Tidak_Bekerja,Perkotaan,Pusat_Kota,Siang,Selasa,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,45,Tenaga_Profesional,Perkotaan,Pusat_Kota,Sore_Petang,Senin,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Perempuan,25,Tidak_Bekerja,Perkotaan,Pusat_Kota,Sore_Petang,Sabtu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,51,Tidak_Bekerja,Pusat_Kota,Pusat_Kota,Pagi,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,27,Tenaga_Profesional,Pinggiran_kota,Pusat_Kota,Dini_Hari,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,36,Tidak_Bekerja,Perkotaan,Pusat_Kota,Dini_Hari,Jumat,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,22,Tidak_Bekerja,Perkotaan,Pusat_Kota,Pagi,Selasa,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,37,Pekerja_Kasar_Tenaga_Kebersihan_dan_Tenaga_Ybdi,Perkotaan,Pusat_Kota,Sore_Petang,Sabtu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,49,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Siang,Rabu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,54,Pekerja_Kasar_Tenaga_Kebersihan_dan_Tenaga_Ybdi,Perkotaan,Pusat_Kota,Siang,Rabu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,29,Tenaga_Profesional,Perkotaan,Pusat_Kota,Pagi,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,30,Tenaga_Profesional,Perkotaan,Pusat_Kota,Pagi,Sabtu,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,47,Tenaga_Usaha Jasa_dan_Usaha_Penjualan_Toko_di_Pasar,Pusat_Kota,Pusat_Kota,Pagi,Selasa,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,55,Tidak_Bekerja,Pusat_Kota,Pusat_Kota,Malam,Selasa,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Perempuan,47,Tidak_Bekerja,Perkotaan,Pusat_Kota,Pagi,Rabu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,50,Pekerja_Kasar_Tenaga_Kebersihan_dan_Tenaga_Ybdi,Pusat_Kota,Pusat_Kota,Pagi,Kamis,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,35,Tidak_Bekerja,Perkotaan,Pusat_Kota,Pagi,Senin,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Perempuan,23,Tidak_Bekerja,Pinggiran_kota,Pusat_Kota,Pagi,Selasa,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,22,Tidak_Bekerja,Perkotaan,Pusat_Kota,Pagi,Jumat,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,31,Tenaga_Profesional,Perkotaan,Pusat_Kota,Pagi,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,58,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Siang,Senin,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Perempuan,22,Tidak_Bekerja,Perkotaan,Pusat_Kota,Pagi,Selasa,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,22,Tidak_Bekerja,Perkotaan,Pusat_Kota,Malam,Jumat,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,56,Tenaga_Profesional,Perkotaan,Pusat_Kota,Siang,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,31,Tenaga_Profesional,Perkotaan,Pusat_Kota,Siang,Kamis,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,29,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Kamis,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,28,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Minggu,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,58,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Senin,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
Laki_Laki,26,Tidak_Bekerja,Pusat_Kota,Pusat_Kota,Pagi,Sabtu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,38,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Sore_Petang,Selasa,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,28,Pekerja_Kasar_Tenaga_Kebersihan_dan_Tenaga_Ybdi,Perkotaan,Pusat_Kota,Dini_Hari,Senin,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,43,Pekerja_Kasar_Tenaga_Kebersihan_dan_Tenaga_Ybdi,Pusat_Kota,Pusat_Kota,Pagi,Kamis,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Laki_Laki,32,Tenaga_Profesional,Pusat_Kota,Pusat_Kota,Pagi,Rabu,Menyebarkan_berita_bohong,Kerugian_konsumen,Transaksi_elektronik,Penipuan_online
Perempuan,38,Tidak_Bekerja,Perkotaan,Pusat_Kota,Dini_Hari,Rabu,Mendistribusikan_penghinaan,Adanya_hinaan_dan_pencemaran_nama_baik,Sistem_elektronik,Penghinaan_atau_pencemaran online
